,Cocktail Name,Cocktail_tags,Ingredients,Preparation,Alcoholic?,Category
75,Casa Blanca,,"1 1/2 tsp Maraschino liqueur, 1 1/2 tsp Lime juice, 1 1/2 tsp Triple sec, 2 oz Light rum, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
76,Clover Club,"IBA,Classic","1 Egg white, Juice of 1/2 Lemon, 2 tsp Grenadine, 1 1/2 oz Gin, ","Dry shake ingredients to emulsify, add ice, shake and served straight up.",Alcoholic,Ordinary Drink
77,Caipirissima,,"crushed Ice, 2-3 oz White rum, 2 tblsp Sugar, 2 Lime, ",Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,Alcoholic,Ordinary Drink
78,City Slicker,,"1 tblsp Lemon juice, 1/2 oz Triple sec, 2 oz Brandy, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Alcoholic,Ordinary Drink
79,Campari Beer,,"1 1/2 cl Campari, 1 bottle Lager, ",Use a 15 oz glass. Add Campari first. Fill with beer.,Alcoholic,Beer
80,Chicago Fizz,,"NoneCarbonated water, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 1 oz Port, 1 oz Light rum, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Alcoholic,Ordinary Drink
81,Cosmopolitan,"IBA,ContemporaryClassic","1/4 cup Cranberry juice, 1/4 oz Cointreau, 1/4 oz Lime juice, 1 1/4 oz Vodka, ",Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.,Alcoholic,Cocktail
82,Coffee-Vodka,,"NoneCaramel coloring, 1 1/2 cupVodka, 1/2Vanilla, 1/2 cup instant Coffee, 2 cups white Sugar, 2 cups Water, ","Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product.",Alcoholic,Homemade Liqueur
83,Casino Royale,,"1 Egg yolk, 1 dash Orange bitters, 1 tsp Maraschino liqueur, 1/2 oz Lemon juice, 2 oz Gin, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",Alcoholic,Ordinary Drink
84,Corpse Reviver,,"1 dashAbsinthe, 3/4 ozLemon Juice, 3/4 ozLillet Blanc, 3/4 ozTriple Sec, 3/4 ozGin, ","Shake, strain, straight up, cocktail glass rinsed with absinthe
",Alcoholic,Cocktail
85,Chocolate Milk,,"1 dash Amaretto, 1/2 shot Milk, 1/2 shot Chocolate liqueur, ","Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!",Alcoholic,Shot
86,Clove Cocktail,,"1/2 oz Muscatel Wine, 1/2 oz Sloe gin, 1 oz Sweet Vermouth, ","Stir all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Ordinary Drink
87,Coffee Liqueur,,"2 1/2 cups Water, 1 qt Vodka, 2 1/2 cups Sugar, 4 tblsp Vanilla extract, 10 tblsp instant Coffee, ","Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",Alcoholic,Homemade Liqueur
